[j]2026/02/12 11:03:51 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.7168e-05, layer transfer time: 0.000105495, total time: 0.00013266300000000001, layer compressed size: 1133 
[j]2026/02/12 11:03:51 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.5979e-05, layer transfer time: 5.1537e-05, total time: 7.7516e-05, layer compressed size: 2297 
[j]2026/02/12 11:03:51 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.9638e-05, layer transfer time: 5.9897e-05, total time: 8.9535e-05, layer compressed size: 1133 
[j]2026/02/12 11:03:51 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.7429e-05, layer transfer time: 4.1687e-05, total time: 6.911600000000001e-05, layer compressed size: 1133 
[j]2026/02/12 11:03:51 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.01108989, layer transfer time: 0.050093808, total time: 0.061183697999999995, layer compressed size: 26873617 
[j]2026/02/12 11:03:51 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.012589482, layer transfer time: 0.050324967, total time: 0.062914449, layer compressed size: 27234148 
[j]2026/02/12 11:03:51 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 3.9105e-05, layer transfer time: 6.3102e-05, total time: 0.000102207, layer compressed size: 2298 
[j]2026/02/12 11:03:51 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.7e-05, layer transfer time: 4.2522e-05, total time: 6.9522e-05, layer compressed size: 424 
[j]2026/02/12 11:03:52 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.7607e-05, layer transfer time: 4.3809e-05, total time: 7.1416e-05, layer compressed size: 424 
[j]2026/02/12 11:03:52 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.9197e-05, layer transfer time: 0.000329115, total time: 0.000358312, layer compressed size: 2299 
[j]2026/02/12 11:03:52 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.7398e-05, layer transfer time: 4.523e-05, total time: 7.2628e-05, layer compressed size: 424 
[j]2026/02/12 11:03:52 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.7576e-05, layer transfer time: 9.1882e-05, total time: 0.000119458, layer compressed size: 1133 
[j]2026/02/12 11:03:52 blobserver.go:1184: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.00802209, layer transfer time: 0.066785662, total time: 0.07480775199999999, layer compressed size: 26836996 
