[j]2026/02/25 11:47:41 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 2.862e-05, layer transfer time: 4.1558e-05, total time: 7.0178e-05, layer compressed size: 405 
[j]2026/02/25 11:47:41 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.007762636, layer transfer time: 0.092713824, total time: 0.10047646, layer compressed size: 33139958 
[j]2026/02/25 11:47:41 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.165626898, layer transfer time: 4.6514e-05, total time: 0.165673412, layer compressed size: 6 
[j]2026/02/25 11:47:41 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.321955, layer transfer time: 0.000113321, total time: 0.322068321, layer compressed size: 1213 
[j]2026/02/25 11:47:42 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 2.18e-06, ssd time: 0, layer transfer time: 4.6894e-05, total time: 4.9074000000000005e-05, layer compressed size: 6 
[j]2026/02/25 11:47:42 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.124650068, layer transfer time: 4.5449e-05, total time: 0.124695517, layer compressed size: 6 
[j]2026/02/25 11:47:42 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.009526038, layer transfer time: 0.057716664, total time: 0.067242702, layer compressed size: 28227259 
[j]2026/02/25 11:47:42 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.009800132, layer transfer time: 0.093891995, total time: 0.10369212700000001, layer compressed size: 43916545 
[j]2026/02/25 11:47:42 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 3.5374e-05, ssd time: 0, layer transfer time: 5.4459e-05, total time: 8.983299999999999e-05, layer compressed size: 950 
[j]2026/02/25 11:47:42 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 3.828e-06, ssd time: 0, layer transfer time: 4.8022e-05, total time: 5.185e-05, layer compressed size: 1213 
[j]2026/02/25 11:47:42 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 3.975e-06, ssd time: 0, layer transfer time: 4.3555e-05, total time: 4.753e-05, layer compressed size: 1410 
[j]2026/02/25 11:47:42 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 1.804e-06, ssd time: 0, layer transfer time: 4.4998e-05, total time: 4.6802e-05, layer compressed size: 6 
[j]2026/02/25 11:47:43 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.005995896, layer transfer time: 0.062850141, total time: 0.068846037, layer compressed size: 28230129 
[j]2026/02/25 11:47:43 blobserver.go:1329: reqtype: GET, cachehit: false, mem time: 0, ssd time: 0.018165382, layer transfer time: 0.088306813, total time: 0.10647219499999999, layer compressed size: 44151007 
[j]2026/02/25 11:47:43 blobserver.go:1329: reqtype: GET, cachehit: true, mem time: 3.827e-06, ssd time: 0, layer transfer time: 4.8005e-05, total time: 5.1832e-05, layer compressed size: 950 
